id,publication_date,assignee_names,title,granted_year,publication_ids,inventor_names,filing_status,year,FOR,assignees,times_cited
US-9318400-B2,2016-04-19,"['Medtronic Inc', 'MEDTRONIC INC']",Wafer-scale package including power source,2016.0,"['pub.1006292747', 'pub.1012452182', 'pub.1051105159', 'pub.1061240577']","[""Richard J. O'Brien"", 'John K. Day', 'Paul F. Gerrish', 'Michael F. Mattes', 'David A. Ruben', 'Malcolm K. Grief']",Grant,2014,"[{'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.419673.e', 'city_name': 'Minneapolis', 'acronym': 'Medtronic', 'name': 'Medtronic (United States)', 'country_name': 'United States'}]",2
US-8344627-B1,2013-01-01,"['International Technology Center', 'INTERNAT TECHNOLOGY CT', 'HOOKE WILLIAM MCCLURE', 'MARTIN ALLEN RICHARD', 'MCGUIRE GARY ELDER', 'RAY MARK ALAN']",Pulsed dielectric barrier discharge,2013.0,"['pub.1035537853', 'pub.1016119482', 'pub.1049903394', 'pub.1036270558', 'pub.1061763546', 'pub.1061763566']","['William McClure Hooke', 'Allen Richard Martin', 'Gary Elder McGuire', 'Mark Alan Ray']",Grant,2011,"[{'id': '2389', 'name': '0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics'}]","[{'id': 'grid.418753.c', 'city_name': 'New York', 'name': 'Colgate-Palmolive (United States)', 'country_name': 'United States'}]",12
US-7104312-B2,2006-09-12,"['Vertiv Corp', 'COOLIGY INC']",Method and apparatus for achieving temperature uniformity and hot spot cooling in a heat producing device,2006.0,"['pub.1046988861', 'pub.1032058262', 'pub.1031711959', 'pub.1018185925', 'pub.1020342631', 'pub.1025663466', 'pub.1016207703', 'pub.1006760586', 'pub.1061240864', 'pub.1061240801', 'pub.1044066079', 'pub.1061240826', 'pub.1026362500', 'pub.1032646285', 'pub.1061250252', 'pub.1016437062', 'pub.1054972476', 'pub.1051823674', 'pub.1027147727', 'pub.1062093365', 'pub.1062093147', 'pub.1061202257']","['Kenneth Goodson', 'Thomas Kenny', 'Peng Zhou', 'Girish Upadhya', 'Mark Munch', 'Mark McMaster', 'James Horn']",Grant,2003,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,139
US-7156159-B2,2007-01-02,"['Vertiv Corp', 'COOLIGY INC']",Multi-level microchannel heat exchangers,2007.0,"['pub.1046988861', 'pub.1032058262', 'pub.1018185925', 'pub.1020342631', 'pub.1025663466', 'pub.1016207703', 'pub.1006760586', 'pub.1061240864', 'pub.1061240801', 'pub.1044066079', 'pub.1038340041', 'pub.1061240826', 'pub.1061240737', 'pub.1026362500', 'pub.1061240783', 'pub.1061250252', 'pub.1016437062', 'pub.1054972476', 'pub.1051823674', 'pub.1027147727', 'pub.1062093147', 'pub.1061202257']","['James Lovette', 'Peng Zhou', 'James Gill Shook']",Grant,2003,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,115
EP-1979123-A4,2014-07-30,"['CENCORP Oyj', 'CENCORP OYJ']",LASER WELDING METHOD,,['pub.1003631173'],['JANSSON ANSSI'],Application,2007,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]",,0
US-7044196-B2,2006-05-16,"['Vertiv Corp', 'COOLIGY INC']",Decoupled spring-loaded mounting apparatus and method of manufacturing thereof,2006.0,"['pub.1046988861', 'pub.1032058262', 'pub.1031711959', 'pub.1018185925', 'pub.1020342631', 'pub.1025663466', 'pub.1016207703', 'pub.1006760586', 'pub.1061240864', 'pub.1061240801', 'pub.1044066079', 'pub.1061240826', 'pub.1026362500', 'pub.1032646285', 'pub.1061250252', 'pub.1016437062', 'pub.1054972476', 'pub.1051823674', 'pub.1027147727', 'pub.1062093365', 'pub.1062093147', 'pub.1061202257']","['James Gill Shook', 'James Lovette']",Grant,2003,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,19
US-8353949-B2,2013-01-15,"['Boston Scientific Scimed Inc', 'BOSTON SCIENT SCIMED INC', 'WEBER JAN', 'MILLER MATTHEW']",Medical devices with drug-eluting coating,2013.0,"['pub.1044334813', 'pub.1035226599', 'pub.1003892489', 'pub.1016338585', 'pub.1005973132', 'pub.1020069399', 'pub.1032151270', 'pub.1063068097', 'pub.1011791768', 'pub.1062200497', 'pub.1007103427', 'pub.1051794943', 'pub.1047286723', 'pub.1013657657', 'pub.1055409509', 'pub.1062169305', 'pub.1061713649', 'pub.1006409050', 'pub.1013245665', 'pub.1053009447', 'pub.1047750950', 'pub.1042171889', 'pub.1037965047', 'pub.1056144803', 'pub.1033787686', 'pub.1040106316', 'pub.1016912257', 'pub.1059313946', 'pub.1063070126', 'pub.1051264232', 'pub.1030779099', 'pub.1032928032', 'pub.1026054487', 'pub.1027814057', 'pub.1039306465', 'pub.1013410126', 'pub.1003669586', 'pub.1046599482', 'pub.1045053987', 'pub.1055408283', 'pub.1033570598', 'pub.1032458874', 'pub.1045252890', 'pub.1018765349', 'pub.1038082062', 'pub.1018796081', 'pub.1043734210', 'pub.1017435625', 'pub.1021437341', 'pub.1003054019', 'pub.1010637780', 'pub.1057678162', 'pub.1114788576', 'pub.1006206802', 'pub.1017488135', 'pub.1040443459', 'pub.1114752712', 'pub.1019524134', 'pub.1007567698', 'pub.1051712059', 'pub.1020861291', 'pub.1062561887', 'pub.1050357255', 'pub.1056170334', 'pub.1028544686', 'pub.1049558471', 'pub.1013186272', 'pub.1044377277', 'pub.1034773137', 'pub.1036428496', 'pub.1009424344', 'pub.1049650081', 'pub.1050953168', 'pub.1057721182', 'pub.1035659043', 'pub.1057684407', 'pub.1052072026', 'pub.1041558774', 'pub.1056141492', 'pub.1052816319', 'pub.1061713588', 'pub.1064034358', 'pub.1051902055', 'pub.1020135036', 'pub.1062200707', 'pub.1039719626', 'pub.1037589994', 'pub.1049087367', 'pub.1003786809', 'pub.1046145325', 'pub.1017724406', 'pub.1003342470', 'pub.1041261660', 'pub.1033574998', 'pub.1059201973', 'pub.1008678593', 'pub.1044242097', 'pub.1020093119', 'pub.1026359554', 'pub.1018680910', 'pub.1032973628', 'pub.1055833681', 'pub.1026143520', 'pub.1013506980', 'pub.1022640683', 'pub.1052359436', 'pub.1043258019', 'pub.1009410180', 'pub.1055418466', 'pub.1067964115', 'pub.1062167924', 'pub.1055219944', 'pub.1055419033', 'pub.1035790955', 'pub.1053789837', 'pub.1010736548', 'pub.1011773673', 'pub.1048621393', 'pub.1056168268', 'pub.1009352671', 'pub.1029731457', 'pub.1016924950', 'pub.1057820833', 'pub.1006260244', 'pub.1027564391', 'pub.1047382986', 'pub.1024950052', 'pub.1000626895', 'pub.1000339169', 'pub.1057821948', 'pub.1062190609', 'pub.1020633318', 'pub.1009512821', 'pub.1034916647', 'pub.1033457479', 'pub.1022085158', 'pub.1035615319', 'pub.1030610832', 'pub.1046438934', 'pub.1037002587', 'pub.1010524923', 'pub.1007839370', 'pub.1057719019', 'pub.1049365061', 'pub.1027697769', 'pub.1045289667', 'pub.1010990538', 'pub.1012549551', 'pub.1021119019', 'pub.1057968707', 'pub.1011266587', 'pub.1036479227', 'pub.1001650081', 'pub.1042355027', 'pub.1031651380', 'pub.1062191879', 'pub.1039745509', 'pub.1004287407', 'pub.1038985147', 'pub.1028418122', 'pub.1062189014', 'pub.1063337863', 'pub.1055219528', 'pub.1048843277', 'pub.1055406636', 'pub.1055219394', 'pub.1057720231', 'pub.1045208121', 'pub.1050381579', 'pub.1020978110', 'pub.1046839857', 'pub.1003449659', 'pub.1018107700', 'pub.1021078294', 'pub.1008894182', 'pub.1049118318', 'pub.1039488413', 'pub.1025265001', 'pub.1003256670', 'pub.1043604510', 'pub.1000085366', 'pub.1061713628', 'pub.1021500949', 'pub.1002639852', 'pub.1063057265', 'pub.1019065062', 'pub.1028336792', 'pub.1057684310', 'pub.1047958378', 'pub.1062200368', 'pub.1013826067', 'pub.1042784445', 'pub.1050563154', 'pub.1057744920', 'pub.1056170751', 'pub.1034381782', 'pub.1046793890', 'pub.1050758877', 'pub.1062200065', 'pub.1048835468', 'pub.1057821340', 'pub.1006817229', 'pub.1005948427', 'pub.1020080628', 'pub.1048687355']","['Jan Weber', 'Matthew Miller']",Grant,2007,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.418905.1', 'city_name': 'Marlborough', 'acronym': 'BSC', 'name': 'Boston Scientific (United States)', 'country_name': 'United States'}]",8
US-8066763-B2,2011-11-29,"['Boston Scientific Scimed Inc', 'ALT ECKHARD', 'BOSTON SCIENT SCIMED INC']",Drug-releasing stent with ceramic-containing layer,2011.0,"['pub.1035615319', 'pub.1003353282', 'pub.1008822340', 'pub.1057720231', 'pub.1055419033', 'pub.1048147844', 'pub.1055219528', 'pub.1044050084', 'pub.1003256670', 'pub.1033787686', 'pub.1021500949', 'pub.1047958378', 'pub.1033574998', 'pub.1063072786', 'pub.1026615926', 'pub.1034773137', 'pub.1056150693', 'pub.1020845129', 'pub.1044242097', 'pub.1046145325', 'pub.1062200497', 'pub.1047750950', 'pub.1003688785', 'pub.1042628680', 'pub.1062191879', 'pub.1041261660', 'pub.1001336735', 'pub.1001650081', 'pub.1023014727', 'pub.1057684310', 'pub.1027756689', 'pub.1042627257', 'pub.1014989724', 'pub.1007567698', 'pub.1049746421', 'pub.1031778525', 'pub.1022259940', 'pub.1006817229', 'pub.1058149544', 'pub.1055406636', 'pub.1049365061', 'pub.1024128636', 'pub.1000085366', 'pub.1048687355', 'pub.1045289667', 'pub.1006260244', 'pub.1041122744', 'pub.1017724406', 'pub.1049087367', 'pub.1030784519', 'pub.1056216284', 'pub.1010637780', 'pub.1055219394', 'pub.1114772715', 'pub.1056149270', 'pub.1011838875', 'pub.1037589994', 'pub.1062200368', 'pub.1022205774', 'pub.1047192573', 'pub.1055219944', 'pub.1043221474', 'pub.1017211740', 'pub.1042784445', 'pub.1010847828', 'pub.1011266587', 'pub.1042079780', 'pub.1029412304', 'pub.1015638381', 'pub.1046793890', 'pub.1032265975', 'pub.1063072239', 'pub.1009424344', 'pub.1063068097', 'pub.1056216100', 'pub.1002548594', 'pub.1021119019', 'pub.1005675280', 'pub.1061713628', 'pub.1055833681', 'pub.1057820833', 'pub.1007103427', 'pub.1055839833', 'pub.1027697769', 'pub.1032151270', 'pub.1057678162', 'pub.1022807243', 'pub.1043804724', 'pub.1042703894', 'pub.1006740302', 'pub.1057719019', 'pub.1004152556', 'pub.1026054487', 'pub.1003669586', 'pub.1046839857', 'pub.1007920340', 'pub.1026359554', 'pub.1027996179', 'pub.1027717620', 'pub.1008559087', 'pub.1035359764', 'pub.1022640683', 'pub.1045208121', 'pub.1062169305', 'pub.1056062425', 'pub.1052166317', 'pub.1040443459', 'pub.1025354434', 'pub.1063337863', 'pub.1000493526', 'pub.1069338739', 'pub.1024695269', 'pub.1041558774', 'pub.1012549551', 'pub.1046599482', 'pub.1035659043', 'pub.1045627889', 'pub.1057721182', 'pub.1020978110', 'pub.1047648118', 'pub.1051712059', 'pub.1005973132', 'pub.1033570598', 'pub.1028018727', 'pub.1034916647', 'pub.1036479227', 'pub.1003672973', 'pub.1037848160', 'pub.1059201973', 'pub.1014251731', 'pub.1046594554', 'pub.1051571088', 'pub.1042355027', 'pub.1052816319', 'pub.1041361405', 'pub.1045252890', 'pub.1030779099', 'pub.1014803123', 'pub.1013826067', 'pub.1047286723', 'pub.1049916499', 'pub.1046408076', 'pub.1040106316', 'pub.1032928032', 'pub.1014756931', 'pub.1064034358', 'pub.1053419261', 'pub.1034602178', 'pub.1040355376', 'pub.1046139696', 'pub.1021824603', 'pub.1027564391', 'pub.1020093119', 'pub.1057821948', 'pub.1050181856', 'pub.1016924950', 'pub.1062167924', 'pub.1020633318', 'pub.1057821340', 'pub.1016902709', 'pub.1046610708', 'pub.1007484642', 'pub.1005637989', 'pub.1056170751', 'pub.1053789837', 'pub.1037965047', 'pub.1050357255', 'pub.1045743942', 'pub.1025030406', 'pub.1052072026', 'pub.1048835468', 'pub.1017837557', 'pub.1056170334', 'pub.1055408283', 'pub.1013657657', 'pub.1039719626', 'pub.1028336792', 'pub.1013245665', 'pub.1050381579', 'pub.1062561887', 'pub.1062200707', 'pub.1044377277', 'pub.1036120285', 'pub.1027814057', 'pub.1021437341', 'pub.1032653789', 'pub.1001553211', 'pub.1002373369', 'pub.1008678593', 'pub.1020080628', 'pub.1000339169', 'pub.1038985147', 'pub.1043258019', 'pub.1028013940', 'pub.1034501584', 'pub.1038082062', 'pub.1034381782', 'pub.1043604510', 'pub.1018765349', 'pub.1016669710', 'pub.1056168268', 'pub.1056150231', 'pub.1035226599', 'pub.1006647699', 'pub.1028418122', 'pub.1002307130', 'pub.1002639852', 'pub.1009410180', 'pub.1040993876', 'pub.1028290346', 'pub.1049650081', 'pub.1114777683', 'pub.1026143520', 'pub.1002003904', 'pub.1050953168', 'pub.1013323552', 'pub.1047238053', 'pub.1010891315', 'pub.1055835022', 'pub.1000626895', 'pub.1043734210', 'pub.1062189014', 'pub.1044334813', 'pub.1037002587', 'pub.1013410126', 'pub.1046970425', 'pub.1041509426', 'pub.1052571605', 'pub.1016483227', 'pub.1013506980', 'pub.1051902055', 'pub.1010944473', 'pub.1003342470', 'pub.1003449659', 'pub.1011542529', 'pub.1013186272', 'pub.1004555092', 'pub.1055220529', 'pub.1048843277', 'pub.1009352671', 'pub.1006070298', 'pub.1018796081', 'pub.1022872978', 'pub.1019888032', 'pub.1057744920', 'pub.1039306465', 'pub.1027120772', 'pub.1006409050', 'pub.1023230630', 'pub.1051101160', 'pub.1010990538', 'pub.1042165194', 'pub.1051264232', 'pub.1002766626', 'pub.1019256038', 'pub.1037714301', 'pub.1013945367', 'pub.1014085537', 'pub.1057684407', 'pub.1015502082', 'pub.1055418466', 'pub.1017488135', 'pub.1000946334', 'pub.1057968707', 'pub.1005948427', 'pub.1006206802', 'pub.1071759671', 'pub.1020861291', 'pub.1020494641', 'pub.1040466276', 'pub.1032973628', 'pub.1028544686', 'pub.1039745509', 'pub.1039330671', 'pub.1027423642', 'pub.1016026529', 'pub.1010524923', 'pub.1029731457', 'pub.1056141492', 'pub.1036141803', 'pub.1016338585', 'pub.1020135036', 'pub.1044301009', 'pub.1018680910', 'pub.1063070126', 'pub.1003786809', 'pub.1032246811', 'pub.1061713588', 'pub.1114788576', 'pub.1034603494', 'pub.1050931428', 'pub.1059313946', 'pub.1049558471', 'pub.1038443191', 'pub.1019298424', 'pub.1056144803', 'pub.1067964115', 'pub.1039768814', 'pub.1040185176', 'pub.1005824377', 'pub.1001377480', 'pub.1033457479', 'pub.1029017295', 'pub.1055409509', 'pub.1034150222', 'pub.1044912057', 'pub.1027495878', 'pub.1021078294', 'pub.1046438934', 'pub.1114752712', 'pub.1042088539', 'pub.1039310626', 'pub.1050563154', 'pub.1063057265', 'pub.1040364369', 'pub.1019524134', 'pub.1057824939', 'pub.1003892489', 'pub.1017435625', 'pub.1011773673', 'pub.1024950052', 'pub.1003009597', 'pub.1007602050', 'pub.1053504767', 'pub.1062190609', 'pub.1030165648', 'pub.1042171889', 'pub.1010736548', 'pub.1036428496', 'pub.1056150978', 'pub.1016912257', 'pub.1032458874', 'pub.1051794943', 'pub.1005839332', 'pub.1003054019', 'pub.1031651380', 'pub.1020947292', 'pub.1048113433', 'pub.1048621393', 'pub.1053009447', 'pub.1052571324', 'pub.1043957830', 'pub.1018107700', 'pub.1007839370', 'pub.1012825670', 'pub.1045053987', 'pub.1017645370', 'pub.1031125182', 'pub.1009512821', 'pub.1020069399', 'pub.1061713649', 'pub.1055412433', 'pub.1000997382', 'pub.1015531206', 'pub.1050758877', 'pub.1036305541', 'pub.1062200065', 'pub.1056147080', 'pub.1059313296', 'pub.1004287407', 'pub.1047382986', 'pub.1027759826', 'pub.1015133907', 'pub.1007117388', 'pub.1018777428', 'pub.1019065062', 'pub.1007402316', 'pub.1016875911', 'pub.1022085158', 'pub.1052359436', 'pub.1015682896', 'pub.1030610832', 'pub.1028259884', 'pub.1072060794', 'pub.1049118318', 'pub.1011791768', 'pub.1035790955', 'pub.1034667851', 'pub.1039488413', 'pub.1008366983', 'pub.1008822913', 'pub.1025265001']",['Eckhard Alt'],Grant,2010,"[{'id': '2837', 'name': '0903 Biomedical Engineering'}, {'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","[{'id': 'grid.418905.1', 'city_name': 'Marlborough', 'acronym': 'BSC', 'name': 'Boston Scientific (United States)', 'country_name': 'United States'}]",26
US-9431312-B2,2016-08-30,"['Medtronic Inc', 'MEDTRONIC INC']",Wafer-scale package including power source,2016.0,"['pub.1012452182', 'pub.1006292747', 'pub.1051105159', 'pub.1061240577']","[""Richard J O'Brien"", 'John K Day', 'Paul F Gerrish', 'Michael F Mattes', 'David A Ruben', 'Malcolm K Grief']",Grant,2016,"[{'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.419673.e', 'city_name': 'Minneapolis', 'acronym': 'Medtronic', 'name': 'Medtronic (United States)', 'country_name': 'United States'}]",0
US-8666505-B2,2014-03-04,"['Medtronic Inc', ""O'BRIEN RICHARD J"", 'DAY JOHN K', 'GERRISH PAUL F', 'MATTES MICHAEL F', 'RUBEN DAVID A', 'GRIEF MALCOLM K', 'MEDTRONIC INC']",Wafer-scale package including power source,2014.0,"['pub.1051105159', 'pub.1006292747', 'pub.1061240577', 'pub.1012452182']","[""Richard J. O'Brien"", 'John K. Day', 'Paul F. Gerrish', 'Michael F. Mattes', 'David A. Ruben', 'Malcolm K. Grief']",Grant,2011,"[{'id': '2921', 'name': '0912 Materials Engineering'}, {'id': '2837', 'name': '0903 Biomedical Engineering'}]","[{'id': 'grid.419673.e', 'city_name': 'Minneapolis', 'acronym': 'Medtronic', 'name': 'Medtronic (United States)', 'country_name': 'United States'}]",15
US-7836597-B2,2010-11-23,"['Vertiv Corp', 'COOLIGY INC']",Method of fabricating high surface to volume ratio structures and their integration in microheat exchangers for liquid cooling system,2010.0,"['pub.1016207703', 'pub.1061148007', 'pub.1001160789', 'pub.1051823674', 'pub.1022572272', 'pub.1045848034', 'pub.1068145831', 'pub.1062081885', 'pub.1061258769', 'pub.1043668971', 'pub.1027147727', 'pub.1062093147', 'pub.1054971459', 'pub.1061240801', 'pub.1032058262', 'pub.1061240783', 'pub.1061202257', 'pub.1029702020', 'pub.1054970934', 'pub.1062093365', 'pub.1003756840', 'pub.1054992280', 'pub.1026362500', 'pub.1036853529', 'pub.1062081901', 'pub.1038340041', 'pub.1061202134', 'pub.1002421542', 'pub.1061143520', 'pub.1042204770', 'pub.1032646285', 'pub.1061240826', 'pub.1009242913', 'pub.1000548649', 'pub.1044066079', 'pub.1061154998', 'pub.1018185925', 'pub.1030659284', 'pub.1018635528', 'pub.1016437062', 'pub.1014473797', 'pub.1018276069', 'pub.1061240737', 'pub.1006760586', 'pub.1046988861', 'pub.1054972476', 'pub.1020342631', 'pub.1061202255', 'pub.1061250252', 'pub.1068145409', 'pub.1061250704', 'pub.1061146667', 'pub.1061240864', 'pub.1033879824', 'pub.1031711959', 'pub.1008054359', 'pub.1025663466']","['Madhav Datta', 'Mark McMaster', 'Rick Brewer', 'Peng Zhou', 'Paul Tsao', 'Girish Upadhaya', 'Mark Munch']",Grant,2006,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}, {'id': '2921', 'name': '0912 Materials Engineering'}]",,51
US-7201012-B2,2007-04-10,"['Vertiv Corp', 'COOLIGY INC']",Remedies to prevent cracking in a liquid system,2007.0,"['pub.1046988861', 'pub.1032058262', 'pub.1031711959', 'pub.1018185925', 'pub.1020342631', 'pub.1025663466', 'pub.1016207703', 'pub.1006760586', 'pub.1061240864', 'pub.1061240801', 'pub.1044066079', 'pub.1061240826', 'pub.1026362500', 'pub.1032646285', 'pub.1061250252', 'pub.1016437062', 'pub.1054972476', 'pub.1051823674', 'pub.1027147727', 'pub.1062093365', 'pub.1062093147', 'pub.1061202257']","['Mark Munch', 'Kenneth Goodson', 'David Corbin', 'Shulin Zeng', 'Thomas W. Kenny', 'James Gill Shook']",Grant,2003,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,17
US-8464781-B2,2013-06-18,"['Vertiv Corp', 'KENNY THOMAS W', 'MUNCH MARK', 'ZHOU PENG', 'SHOOK JAMES GILL', 'GOODSON KENNETH', 'CORBIN DAVE', 'MCMASTER MARK', 'LOVETTE JAMES', 'COOLIGY INC']",Cooling systems incorporating heat exchangers and thermoelectric layers,2013.0,"['pub.1032058262', 'pub.1051823674', 'pub.1002421542', 'pub.1062093147', 'pub.1025663466', 'pub.1068145409', 'pub.1061240864']","['Thomas W. Kenny', 'Mark Munch', 'Peng Zhou', 'James Gill Shook', 'Kenneth Goodson', 'Dave Corbin', 'Mark McMaster', 'James Lovette']",Grant,2006,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]",,16
